trade_id,ticker,strategy,side,entry_signal_price,entry_fill_price,exit_price,exit_reason,realized_pnl,r_multiple,holding_days,mfe,mae,edge_ratio,etd,entry_vix,entry_market_regime,sl_price,tp_price,entry_slippage,exit_slippage,status
AAON_60abe2ec,AAON,ADX Trend Following,long,98.71,99.52,96.04,stop_loss,-257.52,-0.38,3,,,158.0,5.05,18.610000610351562,FEAR,,,0.81,0.0,closed
AA_cd57b48f,AA,Stochastic Oscillator,long,63.06,62.76,69.31,take_profit,786.0,1.25,7,,,42.53,-1.48,17.190000534057617,NEUTRAL,,,-0.3,0.0,closed
ACGL_56dc4f48,ACGL,VWAP Trend,long,93.42,95.38,92.98,stop_loss,-271.2,-1.23,30,,,3.06,5.84,29.90999984741211,FEAR,,,1.96,-0.06,closed
ACGL_c6c3dc3b,ACGL,VWAP Trend,long,97.59,98.07,92.98,stop_loss,-564.99,-2.17,9,,,0.52,5.84,19.3700008392334,FEAR,,,0.48,-0.06,closed
ACIW_b3a5ce18,ACIW,VWAP Trend,long,42.18,40.97,42.34,time_exit,234.27,0.38,13,,,5.75,1.05,18.100000381469727,NEUTRAL,,,-1.21,0.0,closed
AMT_200fba52,AMT,VWAP Trend,long,177.47,178.23,170.02,stop_loss,-410.5,-1.48,3,,,0.12,9.13,18.690000534057617,NEUTRAL,,,0.76,-0.27,closed
ARW_95d34ae2,ARW,VWAP Trend,long,174.9,177.16,187.57,market_close,416.4,0.89,10,,,1.38,1.25,18.229999542236328,NEUTRAL,,,2.26,0.0,closed
AR_4db2fffc,AR,VWAP Trend,long,36.76,36.39,34.6,stop_loss,-393.8,-1.08,7,,,0.84,2.57,15.979999542236328,NEUTRAL,,,-0.37,0.01,closed
AVT_ba1fde83,AVT,VWAP Trend,long,92.93,92.84,90.07,manual_close,-221.6,-0.43,1,,,0.03,2.86,16.079999923706055,NEUTRAL,,,-0.09,0.0,closed
BAC_141287d3,BAC,VWAP Trend,long,49.77,50.65,50.79,manual_close,34.3,0.1,3,,,6.05,0.51,18.280000686645508,NEUTRAL,,,0.88,0.0,closed
BGC_120cfa1e,BGC,MACD Crossover,long,9.84,9.69,9.4,time_exit,-313.49,-0.53,12,,,0.36,0.39,23.450000762939453,FEAR,,,-0.15,0.0,closed
BKNG_958b692b,BKNG,Stochastic Oscillator,long,171.28,169.99,161.74,stop_loss,-379.5,-0.83,3,,,0.06,8.5,17.270000457763672,NEUTRAL,,,-1.29,-0.01,closed
BWA_734384f2,BWA,VWAP Trend,long,65.82,67.21,74.268598,take_profit,755.27,1.17,7,,,38.95,-1.56,17.15999984741211,NEUTRAL,,,1.39,-0.0786,closed
BXP_f56550a9,BXP,VWAP Trend,long,64.53,66.07,66.065224,manual_close,-0.64,-0.0,2,,,0.88,0.72,21.719999313354492,NEUTRAL,,,1.54,0.0,closed
CART_5fc8e4d1,CART,VWAP Trend,long,42.2,41.34,39.168922,stop_loss,-362.57,-0.62,1,,,0.0,2.17,15.979999542236328,NEUTRAL,,,-0.86,0.0411,closed
CHRW_c34d8407,CHRW,VWAP Trend,long,181.61,184.64,183.4,market_close,-49.6,-0.1,5,,,0.38,2.78,17.5,NEUTRAL,,,3.03,0.0,closed
CI_migrated,CI,Z-Score Mean Reversion,long,268.43,268.43,262.246364,take_profit,-272.08,0.0,16,,,0.47,9.41,23.450000762939453,FEAR,,,0.0,-0.3064,closed
CLF_f6b117d7,CLF,VWAP Trend,long,14.75,14.31,13.551778,stop_loss,-354.09,-0.54,2,,,1.38,0.99,16.079999923706055,NEUTRAL,,,-0.44,0.0082,closed
CLH_393db7da,CLH,VWAP Trend,long,291.98,292.29,282.61,manual_close,-251.68,-0.67,1,,,0.0,9.68,17.649999618530273,NEUTRAL,,,0.31,0.0,closed
CMS_84230915,CMS,ADX Trend Following,long,79.94,79.87,78.18,market_close,-229.84,-1.01,10,,,0.03,1.79,19.15999984741211,FEAR,,,-0.07,0.0,closed
COHR_df8a4c94,COHR,VWAP Trend,long,426.89,418.54,397.16,stop_loss,-299.32,-0.42,1,,,0.0,21.38,16.079999923706055,NEUTRAL,,,-8.35,-0.32,closed
COIN_60df2d03,COIN,VWAP Trend,long,207.64,202.37,220.75,take_profit,588.16,0.76,1,,,10.21,-0.4,18.100000381469727,NEUTRAL,,,-5.27,-0.08,closed
CSCO_ac22e363,CSCO,VWAP Trend,long,115.38,114.65,121.23,time_exit,598.78,0.84,12,,,7.77,0.01,17.649999618530273,NEUTRAL,,,-0.73,0.0,closed
CTRE_ab469d66,CTRE,VWAP Trend,long,41.25,41.5,39.45,stop_loss,-401.8,-1.31,12,,,0.57,2.5,17.649999618530273,NEUTRAL,,,0.25,0.0,closed
CUBE_f1496571,CUBE,MACD Crossover,long,37.2,37.55,40.11,market_close,655.36,1.84,10,,,9.05,-0.01,26.75,FEAR,,,0.35,0.0,closed
CVLT_8cbb4aa7,CVLT,VWAP Trend,long,122.12,120.15,117.86,manual_close,-146.56,-0.31,6,,,1.06,5.03,16.079999923706055,NEUTRAL,,,-1.97,0.0,closed
