generated_at,date,ticker,signal,signal_raw,strategy,confidence,confidence_score,composite_score,current_price,stop_loss_pct,stop_loss_price,take_profit_pct,take_profit_price,suggested_position_size_pct,signal_expires,sharpe,sortino,win_rate,profit_factor,annual_return_pct,annual_excess_pct,max_drawdown_pct,avg_holding_days,total_trades,backtest_period,pbo,rsi,vol_20,sma_50,sma_200,trend,volatility,notes,vol_target_size_pct,meta_label_prob,meta_label_size_mult,days_to_earnings,earnings_date,last_surprise_pct,earnings_confidence_adj
2026-04-30T07:42:44,2026-04-30,ANTO.L,EXIT,-1,VWAP Trend,HIGH,5,66.83,3463.0,9.74,3800.3,29.22,2451.11,6.74,2026-05-02,1.39,2.33,61.5,1.7,46.44,56.77,-13.59,2.3,13,2026-01-14 to 2026-04-30 (75 days),-1.0,43.2,0.5404,3707.65,2999.11,BULLISH,HIGH,Last surprise: -63.4%; Size: Kelly 10.0% / VolTgt 3.5% / Blend 6.7%,3.47,-1.0,1.0,-72,2026-02-17,-63.41,0
2026-04-30T07:42:55,2026-04-30,IMB.L,BUY,1,VWAP Trend,MEDIUM,2,58.83,2780.5,3.59,2680.68,5.38,2930.09,8.53,2026-05-02,-0.2,-0.26,75.0,0.93,-3.04,21.79,-7.98,2.4,12,2026-01-14 to 2026-04-30 (75 days),0.5,34.8,0.2657,3058.14,3092.42,BEARISH,MEDIUM,Strong trend (ADX=44); Size: Kelly 10.0% / VolTgt 7.1% / Blend 8.5%,7.06,-1.0,1.0,12,2026-05-12,,0
2026-04-30T07:42:55,2026-04-30,ITRK.L,EXIT,-1,VWAP Trend,HIGH,6,57.94,4753.0,9.37,5198.36,14.05,4085.2,6.53,2026-05-03,2.51,7.12,63.2,3.3,107.06,96.26,-6.84,3.6,19,2026-01-14 to 2026-04-30 (75 days),-1.0,63.7,0.6124,4165.05,4573.82,BEARISH,HIGH,Strong trend (ADX=56); Last surprise: -61.1%; Size: Kelly 10.0% / VolTgt 3.1% / Blend 6.5%,3.06,-1.0,1.0,-58,2026-03-03,-61.06,0
2026-04-30T07:42:57,2026-04-30,LSEG.L,HOLD,0,VWAP Trend,MEDIUM,3,54.42,9566.0,3.59,0.0,5.38,0.0,0.0,2026-05-04,0.61,0.83,57.1,1.27,16.93,-6.2,-21.37,4.7,14,2026-01-14 to 2026-04-30 (75 days),-1.0,59.3,0.2078,8823.13,8890.55,BEARISH,MEDIUM,Strong trend (ADX=53); Last surprise: -47.9%,9.02,-1.0,1.0,-63,2026-02-26,-47.95,0
2026-04-30T07:43:05,2026-04-30,SSE.L,HOLD,0,VWAP Trend,HIGH,5,53.31,2579.5,4.21,0.0,12.63,0.0,0.0,2026-05-02,1.6,2.45,63.6,1.93,21.82,-27.06,-7.47,2.5,11,2026-01-14 to 2026-04-30 (75 days),-1.0,46.3,0.353,2632.64,2170.1,BULLISH,MEDIUM,No special conditions,5.31,-1.0,1.0,28,2026-05-28,,0
2026-04-30T07:42:43,2026-04-30,ADM.L,HOLD,0,ADX Trend Following,HIGH,5,51.33,3434.0,1.67,0.0,2.5,0.0,0.0,2026-05-20,3.2,5.57,100.0,156.61,67.67,9.24,-7.33,20.7,3,2026-01-14 to 2026-04-30 (75 days),-1.0,69.1,0.1238,3174.7,3200.26,BEARISH,LOW,Strong trend (ADX=42),10.0,-1.0,1.0,-1,,,0
2026-04-30T07:42:52,2026-04-30,HLMA.L,HOLD,0,VWAP Trend,HIGH,5,51.26,4369.0,3.43,0.0,12.01,0.0,0.0,2026-05-02,1.31,2.24,58.3,1.59,25.3,-65.5,-6.69,2.2,12,2026-01-14 to 2026-04-30 (75 days),-1.0,61.0,0.3392,4040.04,3605.85,BULLISH,MEDIUM,Strong trend (ADX=41),5.53,-1.0,1.0,42,2026-06-11,,0
2026-04-30T07:43:05,2026-04-30,SMIN.L,EXIT,-1,MACD Crossover,HIGH,5,50.13,2514.0,2.96,2588.41,8.88,2290.76,8.44,2026-05-15,1.85,3.38,100.0,77.73,29.01,21.31,-4.62,15.7,3,2026-01-14 to 2026-04-30 (75 days),-1.0,52.0,0.2726,2500.74,2442.08,BULLISH,MEDIUM,Size: Kelly 10.0% / VolTgt 6.9% / Blend 8.4%,6.88,-1.0,1.0,-1,,,0
2026-04-30T07:42:47,2026-04-30,BNZL.L,HOLD,0,MACD Crossover,HIGH,4,47.92,2397.0,2.33,0.0,8.16,0.0,0.0,2026-05-26,1.84,3.05,100.0,104.68,41.09,-21.54,-5.14,26.3,3,2026-01-14 to 2026-04-30 (75 days),-1.0,61.0,0.1719,2262.42,2259.13,BULLISH,LOW,Strong trend (ADX=42),10.0,-1.0,1.0,-1,,,0
2026-04-30T07:42:43,2026-04-30,AAF.L,HOLD,0,ADX Trend Following,HIGH,4,46.52,349.6,4.4,0.0,13.2,0.0,0.0,2026-05-04,1.03,2.01,80.0,3.82,20.16,25.43,-7.84,4.8,5,2026-01-14 to 2026-04-30 (75 days),-1.0,45.2,0.3851,356.65,295.28,BULLISH,MEDIUM,Last surprise: +25.0%,4.87,-1.0,1.0,8,2026-05-08,25.0,0
