generated_at,date,ticker,signal,signal_raw,strategy,confidence,confidence_score,composite_score,current_price,stop_loss_pct,stop_loss_price,take_profit_pct,take_profit_price,suggested_position_size_pct,signal_expires,sharpe,sortino,win_rate,profit_factor,annual_return_pct,annual_excess_pct,max_drawdown_pct,avg_holding_days,total_trades,backtest_period,rsi,vol_20,sma_50,sma_200,trend,volatility,notes
2026-03-17T14:23:25,2026-03-17,MLM,HOLD,0,VWAP Trend,HIGH,5,113.18,585.31,5.23,0.0,18.3,0.0,0.0,2026-03-20,4.26,14.88,90.0,48.0,75.04,91.18,-2.52,3.0,10,2025-11-25 to 2026-03-16 (75 days),29.0,0.2776,651.23,611.33,BULLISH,MEDIUM,RSI oversold; Strong trend (ADX=56)
2026-03-17T14:25:55,2026-03-17,VICR,HOLD,0,VWAP Trend,HIGH,5,108.23,185.42,12.0,0.0,36.0,0.0,0.0,2026-03-19,4.2,13.33,83.3,14.83,328.33,-829.79,-5.59,2.7,12,2025-11-25 to 2026-03-16 (75 days),55.5,0.927,163.69,88.64,BULLISH,HIGH,No special conditions
2026-03-17T14:23:07,2026-03-17,URI,BUY,1,VWAP Trend,HIGH,5,105.67,743.13,9.31,673.94,32.59,985.32,10.0,2026-03-19,3.49,14.57,88.9,8.8,100.57,125.43,-3.2,2.6,9,2025-11-25 to 2026-03-16 (75 days),33.1,0.4241,862.69,854.21,BULLISH,HIGH,Strong trend (ADX=45)
2026-03-17T14:24:50,2026-03-17,H,HOLD,0,VWAP Trend,HIGH,5,101.25,141.33,10.68,0.0,37.38,0.0,0.0,2026-03-18,3.04,9.09,66.7,8.13,57.42,99.89,-2.88,1.8,12,2025-11-25 to 2026-03-16 (75 days),34.9,0.5216,161.69,149.82,BULLISH,HIGH,Strong trend (ADX=46)
2026-03-17T14:23:31,2026-03-17,IR,HOLD,0,VWAP Trend,HIGH,5,99.6,83.81,5.32,0.0,18.62,0.0,0.0,2026-03-25,2.7,5.37,87.5,6.34,78.52,58.53,-3.66,8.8,8,2025-11-25 to 2026-03-16 (75 days),36.4,0.2821,89.8,82.98,BULLISH,MEDIUM,Strong trend (ADX=58)
2026-03-17T14:24:47,2026-03-17,IEX,BUY,1,VWAP Trend,HIGH,5,98.74,189.57,3.42,183.09,11.97,212.26,10.0,2026-03-24,3.71,8.71,77.8,15.94,91.25,54.76,-2.84,7.6,9,2025-11-25 to 2026-03-16 (75 days),32.6,0.1963,199.21,177.29,BULLISH,LOW,Strong trend (ADX=50)
2026-03-17T14:26:58,2026-03-17,SNEX,BUY,1,VWAP Trend,HIGH,5,98.0,105.21,10.98,93.66,38.43,145.64,10.0,2026-03-20,3.49,9.06,87.5,6.56,91.19,15.21,-3.9,3.0,8,2025-11-25 to 2026-03-16 (75 days),36.0,0.4743,114.3,98.77,BULLISH,HIGH,High volume; Strong trend (ADX=48)
2026-03-17T14:22:22,2026-03-17,GD,HOLD,0,ADX Trend Following,HIGH,5,87.71,354.36,3.75,0.0,11.25,0.0,0.0,2026-03-24,1.87,3.44,100.0,59.88,20.26,4.77,-2.23,7.2,4,2025-11-25 to 2026-03-16 (75 days),49.1,0.2185,355.71,327.97,BULLISH,MEDIUM,No special conditions
2026-03-17T14:26:40,2026-03-17,POWL,HOLD,0,VWAP Trend,HIGH,5,87.39,511.82,12.0,0.0,36.0,0.0,0.0,2026-03-22,4.01,18.69,100.0,467.23,315.08,-122.13,-3.82,5.0,5,2025-11-25 to 2026-03-16 (75 days),50.2,0.4622,480.85,329.61,BULLISH,HIGH,No special conditions
2026-03-17T14:26:40,2026-03-17,POR,HOLD,0,VWAP Trend,HIGH,5,87.15,53.63,2.74,0.0,8.22,0.0,0.0,2026-03-19,3.52,16.08,83.3,29.16,31.35,2.35,-1.28,2.8,6,2025-11-25 to 2026-03-16 (75 days),59.0,0.2238,51.26,45.28,BULLISH,MEDIUM,No special conditions
2026-03-17T14:26:06,2026-03-17,ALV,HOLD,0,VWAP Trend,HIGH,5,86.05,103.78,4.7,0.0,16.45,0.0,0.0,2026-03-19,2.46,4.86,66.7,4.0,32.69,65.19,-2.67,2.2,9,2025-11-25 to 2026-03-16 (75 days),22.2,0.2076,120.44,117.56,BULLISH,MEDIUM,RSI oversold; Strong trend (ADX=59)
2026-03-17T14:23:13,2026-03-17,EBAY,HOLD,0,VWAP Trend,HIGH,5,86.01,91.41,4.75,0.0,14.25,0.0,0.0,2026-03-19,2.56,4.45,77.8,5.89,48.96,5.53,-4.27,2.4,9,2025-11-25 to 2026-03-16 (75 days),55.4,0.3643,89.55,86.29,BULLISH,MEDIUM,No special conditions
2026-03-17T14:25:04,2026-03-17,MAS,HOLD,0,VWAP Trend,HIGH,5,85.95,62.1,5.45,0.0,19.07,0.0,0.0,2026-03-25,3.32,8.94,85.7,8.0,132.44,137.58,-4.1,8.0,7,2025-11-25 to 2026-03-16 (75 days),32.7,0.2706,69.08,67.01,BULLISH,MEDIUM,Strong trend (ADX=58)
2026-03-17T14:25:43,2026-03-17,OSK,HOLD,0,VWAP Trend,HIGH,5,85.77,147.74,6.86,0.0,24.01,0.0,0.0,2026-03-18,2.93,8.28,66.7,7.91,59.78,-6.47,-3.05,1.8,12,2025-11-25 to 2026-03-16 (75 days),34.2,0.2981,158.08,134.31,BULLISH,MEDIUM,Strong trend (ADX=40)
2026-03-17T14:27:04,2026-03-17,GVA,HOLD,0,VWAP Trend,HIGH,5,85.66,123.07,4.7,0.0,16.45,0.0,0.0,2026-03-19,3.53,7.89,76.9,4.82,46.72,-22.3,-2.18,2.8,13,2025-11-25 to 2026-03-16 (75 days),41.4,0.2847,125.97,108.54,BULLISH,MEDIUM,Strong trend (ADX=42)
2026-03-17T14:22:37,2026-03-17,EMR,HOLD,0,VWAP Trend,HIGH,5,85.12,133.09,5.3,0.0,18.55,0.0,0.0,2026-03-20,3.06,5.69,85.7,12.63,61.77,54.57,-4.06,3.3,7,2025-11-25 to 2026-03-16 (75 days),35.4,0.3466,146.75,135.8,BULLISH,MEDIUM,Strong trend (ADX=45)
2026-03-17T14:27:12,2026-03-17,LSTR,HOLD,0,VWAP Trend,HIGH,5,84.41,148.69,9.7,0.0,33.95,0.0,0.0,2026-03-22,3.57,9.41,77.8,9.05,146.87,83.22,-5.75,5.4,9,2025-11-25 to 2026-03-16 (75 days),45.7,0.4973,153.09,136.69,BULLISH,HIGH,Strong trend (ADX=32)
2026-03-17T14:21:55,2026-03-17,C,HOLD,0,VWAP Trend,HIGH,5,83.92,107.35,5.92,0.0,20.72,0.0,0.0,2026-03-19,3.43,8.07,81.8,14.53,68.08,43.52,-4.52,2.2,11,2025-11-25 to 2026-03-16 (75 days),42.8,0.3858,114.36,100.06,BULLISH,MEDIUM,Strong trend (ADX=32)
2026-03-17T14:22:38,2026-03-17,EOG,HOLD,0,VWAP Trend,HIGH,5,83.26,134.51,4.37,0.0,15.29,0.0,0.0,2026-03-22,2.33,4.24,88.9,3.56,58.49,-77.95,-6.15,5.7,9,2025-11-25 to 2026-03-16 (75 days),71.5,0.2657,116.51,113.14,BULLISH,MEDIUM,RSI overbought; Strong trend (ADX=47)
2026-03-17T14:22:18,2026-03-17,GLW,HOLD,0,VWAP Trend,HIGH,5,82.22,132.05,12.0,0.0,36.0,0.0,0.0,2026-03-20,3.07,6.02,72.7,3.79,166.52,-223.69,-11.04,3.2,11,2025-11-25 to 2026-03-16 (75 days),50.7,0.7592,117.5,83.13,BULLISH,HIGH,No special conditions
2026-03-17T14:23:31,2026-03-17,EME,HOLD,0,VWAP Trend,HIGH,5,81.32,726.55,5.95,0.0,20.82,0.0,0.0,2026-03-19,2.62,6.75,66.7,6.22,51.95,-34.33,-2.99,2.3,12,2025-11-25 to 2026-03-16 (75 days),47.2,0.3475,725.67,635.97,BULLISH,MEDIUM,Strong trend (ADX=41)
2026-03-17T14:27:13,2026-03-17,HWC,HOLD,0,ADX Trend Following,HIGH,5,81.16,62.17,5.3,0.0,18.55,0.0,0.0,2026-04-05,2.63,5.05,100.0,143.12,56.17,42.56,-5.75,19.2,4,2025-11-25 to 2026-03-16 (75 days),32.8,0.3137,67.53,61.21,BULLISH,MEDIUM,Strong trend (ADX=45)
2026-03-17T14:23:49,2026-03-17,FTI,HOLD,0,VWAP Trend,HIGH,5,79.08,63.72,5.66,0.0,16.98,0.0,0.0,2026-03-19,4.73,16.05,78.6,13.91,95.14,-131.03,-1.94,2.1,14,2025-11-25 to 2026-03-16 (75 days),55.9,0.2664,58.36,43.46,BULLISH,MEDIUM,No special conditions
2026-03-17T14:21:42,2026-03-17,KO,HOLD,0,VWAP Trend,HIGH,5,79.01,77.82,1.99,0.0,5.97,0.0,0.0,2026-03-19,4.3,14.8,80.0,8.2,48.13,15.4,-1.3,2.2,10,2025-11-25 to 2026-03-16 (75 days),53.9,0.1442,75.1,70.02,BULLISH,LOW,No special conditions
2026-03-17T14:24:12,2026-03-17,CHRW,HOLD,0,VWAP Trend,HIGH,5,78.58,170.48,8.02,0.0,28.07,0.0,0.0,2026-03-20,4.33,17.92,71.4,11.41,104.34,69.6,-2.45,3.9,7,2025-11-25 to 2026-03-16 (75 days),40.2,0.4416,180.72,139.59,BULLISH,HIGH,Strong trend (ADX=34)
2026-03-17T14:25:02,2026-03-17,AR,HOLD,0,VWAP Trend,HIGH,5,77.53,41.03,7.59,0.0,26.56,0.0,0.0,2026-03-20,2.05,3.86,70.0,3.06,63.8,-25.85,-10.39,3.6,10,2025-11-25 to 2026-03-16 (75 days),69.7,0.4478,35.01,34.68,BULLISH,HIGH,Strong trend (ADX=43)
2026-03-17T14:21:31,2026-03-17,AAPL,HOLD,0,VWAP Trend,HIGH,5,77.1,252.82,3.39,0.0,11.87,0.0,0.0,2026-03-19,2.62,12.79,62.5,5.92,31.53,58.0,-1.36,2.1,8,2025-11-25 to 2026-03-16 (75 days),38.7,0.2416,262.2,245.46,BULLISH,MEDIUM,Strong trend (ADX=32)
2026-03-17T14:26:37,2026-03-17,EAT,HOLD,0,VWAP Trend,HIGH,5,77.09,144.08,9.6,0.0,28.8,0.0,0.0,2026-03-19,2.49,5.24,83.3,4.28,51.18,63.42,-4.1,2.8,6,2025-11-25 to 2026-03-16 (75 days),47.0,0.48,154.49,149.82,BULLISH,HIGH,No special conditions
2026-03-17T14:22:47,2026-03-17,COR,BUY,1,VWAP Trend,HIGH,5,76.58,345.88,2.86,335.99,10.01,380.5,10.0,2026-03-19,2.41,9.37,77.8,6.22,38.08,61.53,-1.99,2.4,9,2025-11-25 to 2026-03-16 (75 days),39.3,0.1726,354.67,323.21,BULLISH,LOW,Strong trend (ADX=32)
2026-03-17T14:24:40,2026-03-17,J,HOLD,0,VWAP Trend,HIGH,5,76.31,128.83,4.9,0.0,7.35,0.0,0.0,2026-03-23,1.82,4.04,55.6,3.91,42.85,52.84,-6.07,6.0,9,2025-11-25 to 2026-03-16 (75 days),39.0,0.3491,137.42,140.71,BEARISH,MEDIUM,Strong trend (ADX=40)
2026-03-17T14:23:56,2026-03-17,CFG,HOLD,0,ADX Trend Following,HIGH,5,76.11,56.36,5.67,0.0,19.84,0.0,0.0,2026-04-15,2.48,4.5,100.0,181.59,76.25,59.19,-8.45,29.7,3,2025-11-25 to 2026-03-16 (75 days),33.9,0.3293,62.03,52.64,BULLISH,MEDIUM,Strong trend (ADX=42)
2026-03-17T14:22:04,2026-03-17,UNP,HOLD,0,VWAP Trend,HIGH,5,75.43,242.21,2.9,0.0,10.15,0.0,0.0,2026-03-20,3.14,7.93,60.0,7.65,44.21,18.77,-2.58,3.1,10,2025-11-25 to 2026-03-16 (75 days),34.9,0.1884,245.22,228.96,BULLISH,LOW,Strong trend (ADX=57)
2026-03-17T14:23:46,2026-03-17,AWK,HOLD,0,VWAP Trend,HIGH,5,75.42,139.12,3.88,0.0,5.82,0.0,0.0,2026-03-23,1.85,3.2,66.7,2.27,37.24,9.64,-7.07,6.6,12,2025-11-25 to 2026-03-16 (75 days),61.8,0.2435,130.77,134.73,BEARISH,MEDIUM,No special conditions
2026-03-17T14:22:14,2026-03-17,MCK,HOLD,0,VWAP Trend,HIGH,5,75.4,943.25,3.58,0.0,10.74,0.0,0.0,2026-03-19,2.01,10.44,66.7,17.22,80.64,57.69,-3.01,2.3,9,2025-11-25 to 2026-03-16 (75 days),53.2,0.2482,893.59,787.85,BULLISH,MEDIUM,No special conditions
2026-03-17T14:23:29,2026-03-17,EL,HOLD,0,VWAP Trend,HIGH,5,75.19,88.76,10.65,0.0,37.27,0.0,0.0,2026-03-19,1.98,3.63,63.6,2.29,31.42,40.62,-5.6,2.5,11,2025-11-25 to 2026-03-16 (75 days),33.5,0.5212,107.45,93.86,BULLISH,HIGH,Strong trend (ADX=39)
