generated_at,date,ticker,signal,signal_raw,strategy,confidence,confidence_score,composite_score,current_price,stop_loss_pct,stop_loss_price,take_profit_pct,take_profit_price,suggested_position_size_pct,signal_expires,sharpe,sortino,win_rate,profit_factor,annual_return_pct,annual_excess_pct,max_drawdown_pct,avg_holding_days,total_trades,backtest_period,pbo,rsi,vol_20,sma_50,sma_200,trend,volatility,notes
2026-03-26T14:28:29,2026-03-26,MLM,HOLD,0,VWAP Trend,HIGH,5,115.15,589.42,4.6,0.0,16.1,0.0,0.0,2026-03-29,4.64,16.82,90.0,48.0,88.48,105.95,-2.52,3.0,10,2025-12-05 to 2026-03-25 (75 days),-1.0,40.4,0.2742,641.46,612.36,BULLISH,MEDIUM,Strong trend (ADX=54)
2026-03-26T14:27:22,2026-03-26,C,HOLD,0,VWAP Trend,HIGH,5,106.65,114.48,4.68,0.0,14.04,0.0,0.0,2026-03-28,3.59,8.58,81.8,15.23,73.65,52.91,-4.52,2.2,11,2025-12-05 to 2026-03-25 (75 days),-1.0,58.1,0.3037,113.05,101.31,BULLISH,MEDIUM,No special conditions
2026-03-26T14:29:12,2026-03-26,URI,HOLD,0,VWAP Trend,HIGH,5,100.43,747.59,5.95,0.0,8.93,0.0,0.0,2026-03-28,3.81,12.99,100.0,256.09,124.4,143.33,-4.73,2.4,8,2025-12-05 to 2026-03-25 (75 days),-1.0,40.0,0.3948,839.32,855.41,BEARISH,MEDIUM,Strong trend (ADX=43)
2026-03-26T14:27:24,2026-03-26,CBOE,HOLD,0,VWAP Trend,HIGH,5,98.95,277.04,3.85,0.0,13.47,0.0,0.0,2026-03-27,3.04,5.92,91.7,8.57,36.63,-1.19,-2.62,1.7,12,2025-12-05 to 2026-03-25 (75 days),-1.0,40.6,0.2723,281.08,252.24,BULLISH,MEDIUM,Strong trend (ADX=38)
2026-03-26T14:30:32,2026-03-26,POR,HOLD,0,VWAP Trend,HIGH,5,98.59,51.25,2.6,0.0,7.8,0.0,0.0,2026-03-28,3.85,17.92,85.7,32.63,35.77,11.09,-1.28,2.6,7,2025-12-05 to 2026-03-25 (75 days),-1.0,42.4,0.1711,51.7,45.68,BULLISH,LOW,No special conditions
2026-03-26T14:30:04,2026-03-26,H,HOLD,0,VWAP Trend,HIGH,5,94.81,147.57,8.55,0.0,29.93,0.0,0.0,2026-03-27,3.07,9.16,66.7,8.13,57.96,74.93,-2.88,1.8,12,2025-12-05 to 2026-03-25 (75 days),-1.0,44.5,0.4652,158.78,150.33,BULLISH,HIGH,Strong trend (ADX=36)
2026-03-26T14:30:15,2026-03-26,LSTR,HOLD,0,VWAP Trend,HIGH,5,90.12,157.07,8.18,0.0,24.54,0.0,0.0,2026-03-30,3.93,10.77,81.8,10.19,181.87,133.06,-5.75,4.5,11,2025-12-05 to 2026-03-25 (75 days),-1.0,57.2,0.4663,153.23,137.23,BULLISH,HIGH,No special conditions
2026-03-26T14:27:48,2026-03-26,EMR,HOLD,0,VWAP Trend,HIGH,5,86.92,130.86,4.83,0.0,16.91,0.0,0.0,2026-03-29,3.13,5.82,87.5,12.97,63.68,77.85,-4.06,3.0,8,2025-12-05 to 2026-03-25 (75 days),-1.0,36.5,0.3046,145.06,136.18,BULLISH,MEDIUM,Strong trend (ADX=51)
2026-03-26T14:29:00,2026-03-26,STLD,HOLD,0,VWAP Trend,HIGH,5,85.63,173.47,5.54,0.0,19.39,0.0,0.0,2026-03-29,2.82,5.91,75.0,10.42,57.93,38.7,-3.04,3.2,8,2025-12-05 to 2026-03-25 (75 days),-1.0,43.8,0.3734,184.19,154.14,BULLISH,MEDIUM,Strong trend (ADX=46)
2026-03-26T14:30:28,2026-03-26,OSK,HOLD,0,VWAP Trend,HIGH,5,84.13,147.89,5.47,0.0,19.14,0.0,0.0,2026-03-27,3.07,9.13,66.7,8.02,61.03,1.76,-2.53,1.7,12,2025-12-05 to 2026-03-25 (75 days),-1.0,41.3,0.2927,158.46,135.84,BULLISH,MEDIUM,Strong trend (ADX=41)
2026-03-26T14:28:10,2026-03-26,IEX,EXIT,-1,VWAP Trend,HIGH,5,83.55,191.63,4.2,199.68,14.7,163.46,10.0,2026-04-02,3.86,9.34,77.8,21.07,98.92,67.6,-2.84,7.1,9,2025-12-05 to 2026-03-25 (75 days),-1.0,43.5,0.2469,200.2,177.65,BULLISH,MEDIUM,Strong trend (ADX=48)
2026-03-26T14:29:04,2026-03-26,TGT,HOLD,0,VWAP Trend,HIGH,5,82.04,116.37,3.98,0.0,11.94,0.0,0.0,2026-03-31,3.12,5.91,100.0,164.03,67.84,-60.96,-4.87,5.8,6,2025-12-05 to 2026-03-25 (75 days),-1.0,52.9,0.2988,113.01,98.58,BULLISH,MEDIUM,No special conditions
2026-03-26T14:28:56,2026-03-26,SJM,HOLD,0,VWAP Trend,HIGH,5,81.99,95.39,4.45,0.0,15.58,0.0,0.0,2026-04-04,2.6,5.61,83.3,6.11,77.61,89.85,-5.32,9.3,6,2025-12-05 to 2026-03-25 (75 days),-1.0,26.2,0.3874,106.03,103.44,BULLISH,MEDIUM,RSI oversold; Strong trend (ADX=46)
