generated_at,date,ticker,signal,signal_raw,strategy,confidence,confidence_score,composite_score,current_price,stop_loss_pct,stop_loss_price,take_profit_pct,take_profit_price,suggested_position_size_pct,signal_expires,sharpe,sortino,win_rate,profit_factor,annual_return_pct,annual_excess_pct,max_drawdown_pct,avg_holding_days,total_trades,backtest_period,pbo,rsi,vol_20,sma_50,sma_200,trend,volatility,notes,vol_target_size_pct,days_to_earnings,earnings_date,last_surprise_pct,earnings_confidence_adj
2026-04-03T20:07:27,2026-04-03,C,HOLD,0,VWAP Trend,HIGH,4,102.19,115.25,4.74,0.0,14.22,0.0,0.0,2026-04-05,4.18,11.94,80.0,20.46,115.32,105.81,-4.52,2.3,10,2025-12-15 to 2026-04-02 (75 days),-1.0,57.6,0.347,112.73,102.37,BULLISH,MEDIUM,Last surprise: -23.5%; Earnings conf adj: -1,5.4,11,2026-04-14,-23.46,-1
2026-04-03T20:11:41,2026-04-03,VICR,HOLD,0,VWAP Trend,HIGH,5,100.66,155.64,12.0,0.0,36.0,0.0,0.0,2026-04-05,4.65,17.46,83.3,26.56,388.43,-37.53,-2.66,2.6,12,2025-12-15 to 2026-04-02 (75 days),-1.0,44.2,1.1437,171.0,96.81,BULLISH,HIGH,No special conditions,1.64,26,2026-04-29,,0
2026-04-03T20:09:50,2026-04-03,ALGM,EXIT,-1,VWAP Trend,HIGH,5,97.15,32.6,11.61,36.38,34.83,21.25,6.32,2026-04-06,3.54,9.81,87.5,30.09,114.77,17.91,-3.53,3.2,8,2025-12-15 to 2026-04-02 (75 days),-1.0,49.7,0.7129,35.24,31.46,BULLISH,HIGH,Size: Kelly 10.0% / VolTgt 2.6% / Blend 6.3%,2.63,34,2026-05-07,,0
2026-04-03T20:08:48,2026-04-03,MLM,HOLD,0,VWAP Trend,HIGH,5,96.96,597.18,4.18,0.0,14.63,0.0,0.0,2026-04-06,4.14,11.23,88.9,43.34,86.31,104.35,-3.14,3.2,9,2025-12-15 to 2026-04-02 (75 days),-1.0,47.6,0.2728,634.4,613.5,BULLISH,MEDIUM,Strong trend (ADX=33),6.87,26,2026-04-29,,0
2026-04-03T20:12:00,2026-04-03,SNEX,HOLD,0,VWAP Trend,HIGH,5,95.23,84.36,8.27,0.0,28.95,0.0,0.0,2026-04-06,4.44,11.48,100.0,286.02,150.54,-3.44,-4.87,3.9,7,2025-12-15 to 2026-04-02 (75 days),-1.0,66.8,0.516,77.83,67.09,BULLISH,HIGH,Price at statistical extreme; Strong trend (ADX=39),3.63,34,2026-05-07,,0
2026-04-03T20:11:54,2026-04-03,ESE,EXIT,-1,VWAP Trend,HIGH,5,90.64,292.28,5.82,309.29,17.46,241.25,7.35,2026-04-05,3.75,9.03,100.0,222.85,141.68,-86.01,-5.41,2.2,6,2025-12-15 to 2026-04-02 (75 days),-1.0,62.4,0.3997,264.02,218.9,BULLISH,MEDIUM,Price at statistical extreme; Size: Kelly 10.0% / VolTgt 4.7% / Blend 7.3%,4.69,39,2026-05-12,,0
2026-04-03T20:09:26,2026-04-03,TGT,HOLD,0,VWAP Trend,HIGH,5,90.57,120.45,2.82,0.0,8.46,0.0,0.0,2026-04-08,3.12,5.91,100.0,164.03,67.84,-44.33,-4.87,5.8,6,2025-12-15 to 2026-04-02 (75 days),-1.0,60.3,0.1991,114.37,99.33,BULLISH,LOW,No special conditions,9.42,47,2026-05-20,,0
2026-04-03T20:12:14,2026-04-03,GVA,HOLD,0,VWAP Trend,HIGH,5,88.31,121.57,4.79,0.0,16.77,0.0,0.0,2026-04-05,3.69,8.33,76.9,5.01,49.9,30.68,-2.18,2.5,13,2025-12-15 to 2026-04-02 (75 days),-1.0,47.9,0.2991,125.59,110.39,BULLISH,MEDIUM,Strong trend (ADX=39),6.27,27,2026-04-30,,0
2026-04-03T20:07:57,2026-04-03,ED,HOLD,0,VWAP Trend,HIGH,5,87.36,115.43,2.14,0.0,6.42,0.0,0.0,2026-04-08,2.68,4.73,87.5,6.7,29.07,-41.87,-2.23,5.8,8,2025-12-15 to 2026-04-02 (75 days),-1.0,64.4,0.1676,110.16,101.28,BULLISH,LOW,Last surprise: +3.5%,10.0,28,2026-05-01,3.49,0
2026-04-03T20:08:00,2026-04-03,EOG,HOLD,0,VWAP Trend,HIGH,5,86.91,142.64,4.48,0.0,15.68,0.0,0.0,2026-04-08,3.95,9.54,100.0,228.41,107.88,-76.62,-4.18,5.3,9,2025-12-15 to 2026-04-02 (75 days),-1.0,62.0,0.2843,126.05,115.1,BULLISH,MEDIUM,Strong trend (ADX=39); Last surprise: +3.2%,6.59,33,2026-05-06,3.18,0
2026-04-03T20:07:32,2026-04-03,CFG,BUY,1,ADX Trend Following,HIGH,5,85.45,60.99,3.9,58.61,11.7,68.13,8.45,2026-04-04,2.6,19.68,100.0,25.33,7.49,-10.95,-0.2,1.0,3,2025-12-15 to 2026-04-02 (75 days),0.722,57.2,0.2719,61.52,53.84,BULLISH,MEDIUM,Price at statistical extreme; Last surprise: +1.8%; Size: Kelly 10.0% / VolTgt 6.9% / Blend 8.4%,6.9,13,2026-04-16,1.8,0
2026-04-03T20:07:28,2026-04-03,CBOE,HOLD,0,VWAP Trend,HIGH,5,85.23,289.95,3.52,0.0,12.32,0.0,0.0,2026-04-04,2.87,5.57,90.9,8.09,34.03,-40.65,-2.62,1.7,11,2025-12-15 to 2026-04-02 (75 days),-1.0,55.5,0.3062,282.39,253.99,BULLISH,MEDIUM,Strong trend (ADX=42); Last surprise: +3.7%,6.12,28,2026-05-01,3.73,0
2026-04-03T20:10:29,2026-04-03,FHI,HOLD,0,ADX Trend Following,HIGH,5,84.14,57.81,3.7,0.0,11.1,0.0,0.0,2026-04-06,2.48,4.7,100.0,89.16,32.36,-15.16,-2.46,3.8,5,2025-12-15 to 2026-04-02 (75 days),-1.0,59.4,0.2125,55.27,51.22,BULLISH,MEDIUM,No special conditions,8.82,21,2026-04-24,,0
2026-04-03T20:09:20,2026-04-03,SPGI,HOLD,0,VWAP Trend,HIGH,5,83.93,431.16,3.62,0.0,5.43,0.0,0.0,2026-04-09,2.98,5.14,100.0,89.58,60.42,99.4,-7.22,6.8,6,2025-12-15 to 2026-04-02 (75 days),-1.0,51.3,0.2682,443.43,496.88,BEARISH,MEDIUM,No special conditions,6.99,25,2026-04-28,,0
2026-04-03T20:08:23,2026-04-03,HII,HOLD,0,VWAP Trend,HIGH,5,83.73,396.62,5.67,0.0,19.84,0.0,0.0,2026-04-05,3.63,12.89,77.8,26.36,93.99,3.29,-2.62,2.9,9,2025-12-15 to 2026-04-02 (75 days),-1.0,45.9,0.3428,415.58,322.96,BULLISH,MEDIUM,Strong trend (ADX=41); Last surprise: +3.9%,5.47,27,2026-04-30,3.86,0
2026-04-03T20:11:05,2026-04-03,OGE,EXIT,-1,VWAP Trend,HIGH,5,82.63,48.76,2.2,49.83,6.6,45.54,10.0,2026-04-06,2.65,5.31,87.5,7.36,18.83,-37.41,-2.37,3.9,8,2025-12-15 to 2026-04-02 (75 days),-1.0,63.1,0.1588,46.57,44.54,BULLISH,LOW,Size: Kelly 10.0% / VolTgt 10.0% / Blend 10.0%,10.0,26,2026-04-29,,0
2026-04-03T20:07:32,2026-04-03,CHRW,HOLD,0,VWAP Trend,HIGH,6,81.78,167.84,4.81,0.0,14.43,0.0,0.0,2026-04-07,4.7,30.46,83.3,60.74,102.06,76.73,-1.32,4.3,6,2025-12-15 to 2026-04-02 (75 days),-1.0,44.2,0.3002,180.06,144.41,BULLISH,MEDIUM,Last surprise: +8.8%; Earnings conf adj: +1,6.25,27,2026-04-30,8.85,1
2026-04-03T20:11:14,2026-04-03,POR,HOLD,0,VWAP Trend,HIGH,5,80.63,53.67,2.26,0.0,6.78,0.0,0.0,2026-04-05,3.49,15.87,83.3,28.82,30.88,-12.96,-1.28,2.8,6,2025-12-15 to 2026-04-02 (75 days),-1.0,62.9,0.1855,51.63,45.62,BULLISH,LOW,No special conditions,10.0,28,2026-05-01,,0
2026-04-03T20:10:30,2026-04-03,FLG,HOLD,0,VWAP Trend,HIGH,4,80.36,13.48,4.63,0.0,13.89,0.0,0.0,2026-04-04,2.74,7.2,54.5,3.47,50.1,39.29,-2.46,1.9,11,2025-12-15 to 2026-04-02 (75 days),-1.0,59.8,0.2628,13.2,12.24,BULLISH,MEDIUM,No special conditions,7.14,21,2026-04-24,,0
