generated_at,date,ticker,signal,signal_raw,strategy,confidence,confidence_score,composite_score,current_price,stop_loss_pct,stop_loss_price,take_profit_pct,take_profit_price,suggested_position_size_pct,signal_expires,sharpe,sortino,win_rate,profit_factor,annual_return_pct,annual_excess_pct,max_drawdown_pct,avg_holding_days,total_trades,backtest_period,pbo,rsi,vol_20,sma_50,sma_200,trend,volatility,notes,vol_target_size_pct,meta_label_prob,meta_label_size_mult,days_to_earnings,earnings_date,last_surprise_pct,earnings_confidence_adj
2026-06-02T14:53:18,2026-06-02,KVUE,BUY,1,VWAP Trend,HIGH,6,115.02,17.35,2.17,16.97,3.89,18.02,10.0,2026-06-09,3.2,6.2,100.0,87.96,31.74,48.79,-2.17,7.4,5,2026-02-12 to 2026-06-01 (75 days),0.187,50.4,0.1816,17.24,17.1,BULLISH,LOW,Last surprise: +23.1%; Earnings conf adj: +1; Size: Kelly 10.0% / VolTgt 10.0% / Blend 10.0%,10.0,-1.0,1.0,65,2026-08-06,23.08,1
2026-06-02T14:55:26,2026-06-02,TEX,HOLD,0,VWAP Trend,HIGH,6,98.61,58.22,8.75,0.0,5.78,0.0,0.0,2026-06-04,2.55,5.31,100.0,137.52,54.75,87.59,-4.7,2.4,5,2026-02-12 to 2026-06-01 (75 days),-1.0,44.3,0.4742,60.49,56.19,BULLISH,HIGH,Last surprise: +25.6%; Earnings conf adj: +1,3.95,-1.0,1.0,58,2026-07-30,25.64,1
2026-06-02T14:55:14,2026-06-02,CLF,EXIT,-1,VWAP Trend,HIGH,5,93.71,13.58,9.74,14.9,14.61,11.6,6.53,2026-06-12,5.3,10.7,100.0,663.67,642.6,521.68,-9.7,10.8,6,2026-02-12 to 2026-06-01 (75 days),-1.0,73.9,0.6119,10.01,11.54,BEARISH,HIGH,RSI overbought; Price at statistical extreme; Strong trend (ADX=43); Last surprise: +4.8%; Size: Kelly 10.0% / VolTgt 3.1% / Blend 6.5%,3.06,-1.0,1.0,48,2026-07-20,4.76,0
2026-06-02T14:54:22,2026-06-02,MKSI,HOLD,0,VWAP Trend,HIGH,6,90.84,317.62,9.35,0.0,6.07,0.0,0.0,2026-06-05,3.94,12.4,100.0,208.96,94.47,-34.04,-2.6,3.2,6,2026-02-12 to 2026-06-01 (75 days),-1.0,58.6,0.4312,278.4,195.12,BULLISH,HIGH,Last surprise: +12.2%; Earnings conf adj: +1,4.35,-1.0,1.0,64,2026-08-05,12.2,1
2026-06-02T14:53:56,2026-06-02,SWK,HOLD,0,ADX Trend Following,HIGH,6,89.66,78.17,4.96,0.0,5.63,0.0,0.0,2026-06-06,3.33,11.31,100.0,136.44,55.24,90.18,-2.11,4.0,3,2026-02-12 to 2026-06-01 (75 days),-1.0,53.5,0.3576,74.55,74.43,BULLISH,MEDIUM,Last surprise: +35.6%; Earnings conf adj: +1,5.24,-1.0,1.0,56,2026-07-28,35.59,1
2026-06-02T14:52:49,2026-06-02,ETR,HOLD,0,VWAP Trend,HIGH,5,87.77,104.97,2.82,0.0,2.42,0.0,0.0,2026-06-03,3.1,12.8,85.7,10.02,24.68,12.2,-1.39,1.6,7,2026-02-12 to 2026-06-01 (75 days),-1.0,31.0,0.2427,111.61,98.5,BULLISH,MEDIUM,Price at statistical extreme; Strong trend (ADX=36); Last surprise: +2.4%,7.73,-1.0,1.0,58,2026-07-30,2.38,0
2026-06-02T14:54:33,2026-06-02,NTNX,HOLD,0,VWAP Trend,HIGH,6,87.69,55.87,8.8,0.0,13.2,0.0,0.0,2026-06-14,2.88,5.02,83.3,4.73,190.95,7.17,-11.6,12.0,6,2026-02-12 to 2026-06-01 (75 days),-1.0,76.8,0.5533,42.26,53.43,BEARISH,HIGH,RSI overbought; Price at statistical extreme; Strong trend (ADX=34); Last surprise: +34.3%; Earnings conf adj: +1,3.39,-1.0,1.0,85,2026-08-26,34.29,1
2026-06-02T14:54:18,2026-06-02,MTZ,EXIT,-1,VWAP Trend,HIGH,6,85.51,362.09,9.65,397.03,5.04,343.84,7.18,2026-06-04,5.34,32.42,76.9,38.91,206.12,17.68,-1.44,2.2,13,2026-02-12 to 2026-06-01 (75 days),-1.0,38.4,0.4312,372.65,261.41,BULLISH,HIGH,Strong trend (ADX=42); Last surprise: +37.5%; Earnings conf adj: +1; Size: Kelly 10.0% / VolTgt 4.3% / Blend 7.2%,4.35,-1.0,1.0,58,2026-07-30,37.5,1
2026-06-02T14:54:41,2026-06-02,TOL,HOLD,0,VWAP Trend,HIGH,6,84.97,138.38,6.46,0.0,5.48,0.0,0.0,2026-06-04,2.09,6.75,87.5,4.7,53.0,94.91,-3.97,2.1,8,2026-02-12 to 2026-06-01 (75 days),-1.0,52.3,0.4807,137.88,139.84,BEARISH,HIGH,Last surprise: +5.0%; Earnings conf adj: +1,3.9,-1.0,1.0,77,2026-08-18,5.02,1
2026-06-02T14:54:10,2026-06-02,VRT,EXIT,-1,VWAP Trend,HIGH,6,84.93,323.39,11.32,360.0,6.52,302.3,6.6,2026-06-04,3.19,13.95,87.5,205.99,91.19,-99.26,-2.26,2.0,8,2026-02-12 to 2026-06-01 (75 days),-1.0,49.1,0.5857,308.45,212.16,BULLISH,HIGH,Last surprise: +15.8%; Earnings conf adj: +1; Size: Kelly 10.0% / VolTgt 3.2% / Blend 6.6%,3.2,-1.0,1.0,57,2026-07-29,15.84,1
